model,run_id,step,entropy_bits
Claude Sonnet 4.5,1,1,4.459431618637297
Claude Sonnet 4.5,1,2,3.169925001442312
Claude Sonnet 4.5,1,3,2.807354922057604
Claude Sonnet 4.5,1,4,2.0
Claude Sonnet 4.5,1,5,1.584962500721156
Claude Sonnet 4.5,1,6,1.0
Claude Sonnet 4.5,1,7,0.0
Claude Sonnet 4.5,1,8,0.0
Claude Sonnet 4.5,1,9,0.0
Claude Sonnet 4.5,1,10,0.0
Claude Sonnet 4.5,2,1,4.459431618637297
Claude Sonnet 4.5,2,2,3.4594316186372973
Claude Sonnet 4.5,2,3,2.584962500721156
Claude Sonnet 4.5,2,4,2.0
Claude Sonnet 4.5,2,5,1.0
Claude Sonnet 4.5,2,6,0.0
Claude Sonnet 4.5,2,7,0.0
Claude Sonnet 4.5,2,8,0.0
Claude Sonnet 4.5,2,9,0.0
Claude Sonnet 4.5,2,10,0.0
Claude Sonnet 4.5,3,1,4.459431618637297
Claude Sonnet 4.5,3,2,3.169925001442312
Claude Sonnet 4.5,3,3,2.584962500721156
Claude Sonnet 4.5,3,4,2.0
Claude Sonnet 4.5,3,5,1.584962500721156
Claude Sonnet 4.5,3,6,1.0
Claude Sonnet 4.5,3,7,0.0
Claude Sonnet 4.5,3,8,0.0
Claude Sonnet 4.5,3,9,0.0
Claude Sonnet 4.5,3,10,0.0
Claude Sonnet 4.5,4,1,4.584962500721156
Claude Sonnet 4.5,4,2,3.169925001442312
Claude Sonnet 4.5,4,3,2.584962500721156
Claude Sonnet 4.5,4,4,2.0
Claude Sonnet 4.5,4,5,1.584962500721156
Claude Sonnet 4.5,4,6,0.0
Claude Sonnet 4.5,4,7,0.0
Claude Sonnet 4.5,4,8,0.0
Claude Sonnet 4.5,4,9,0.0
Claude Sonnet 4.5,4,10,0.0
Claude Sonnet 4.5,5,1,4.584962500721156
Claude Sonnet 4.5,5,2,3.321928094887362
Claude Sonnet 4.5,5,3,2.321928094887362
Claude Sonnet 4.5,5,4,1.584962500721156
Claude Sonnet 4.5,5,5,1.0
Claude Sonnet 4.5,5,6,0.0
Claude Sonnet 4.5,5,7,0.0
Claude Sonnet 4.5,5,8,0.0
Claude Sonnet 4.5,5,9,0.0
Claude Sonnet 4.5,5,10,0.0
Claude Sonnet 4.5,6,1,4.392317422778761
Claude Sonnet 4.5,6,2,3.321928094887362
Claude Sonnet 4.5,6,3,2.584962500721156
Claude Sonnet 4.5,6,4,2.0
Claude Sonnet 4.5,6,5,1.584962500721156
Claude Sonnet 4.5,6,6,0.0
Claude Sonnet 4.5,6,7,0.0
Claude Sonnet 4.5,6,8,0.0
Claude Sonnet 4.5,6,9,0.0
Claude Sonnet 4.5,6,10,0.0
Claude Sonnet 4.5,7,1,4.459431618637297
Claude Sonnet 4.5,7,2,3.321928094887362
Claude Sonnet 4.5,7,3,2.321928094887362
Claude Sonnet 4.5,7,4,1.584962500721156
Claude Sonnet 4.5,7,5,1.0
Claude Sonnet 4.5,7,6,0.0
Claude Sonnet 4.5,7,7,0.0
Claude Sonnet 4.5,7,8,0.0
Claude Sonnet 4.5,7,9,0.0
Claude Sonnet 4.5,7,10,0.0
Claude Sonnet 4.5,8,1,4.459431618637297
Claude Sonnet 4.5,8,2,3.321928094887362
Claude Sonnet 4.5,8,3,2.807354922057604
Claude Sonnet 4.5,8,4,2.0
Claude Sonnet 4.5,8,5,1.584962500721156
Claude Sonnet 4.5,8,6,1.0
Claude Sonnet 4.5,8,7,0.0
Claude Sonnet 4.5,8,8,0.0
Claude Sonnet 4.5,8,9,0.0
Claude Sonnet 4.5,8,10,0.0
Claude Sonnet 4.5,9,1,4.459431618637297
Claude Sonnet 4.5,9,2,3.0
Claude Sonnet 4.5,9,3,2.584962500721156
Claude Sonnet 4.5,9,4,1.584962500721156
Claude Sonnet 4.5,9,5,1.0
Claude Sonnet 4.5,9,6,0.0
Claude Sonnet 4.5,9,7,0.0
Claude Sonnet 4.5,9,8,0.0
Claude Sonnet 4.5,9,9,0.0
Claude Sonnet 4.5,9,10,0.0
Claude Sonnet 4.5,10,1,4.523561956057013
Claude Sonnet 4.5,10,2,2.807354922057604
Claude Sonnet 4.5,10,3,2.584962500721156
Claude Sonnet 4.5,10,4,2.0
Claude Sonnet 4.5,10,5,1.584962500721156
Claude Sonnet 4.5,10,6,1.0
Claude Sonnet 4.5,10,7,0.0
Claude Sonnet 4.5,10,8,0.0
Claude Sonnet 4.5,10,9,0.0
Claude Sonnet 4.5,10,10,0.0
Claude Sonnet 4.5,11,1,4.392317422778761
Claude Sonnet 4.5,11,2,3.0
Claude Sonnet 4.5,11,3,2.807354922057604
Claude Sonnet 4.5,11,4,2.321928094887362
Claude Sonnet 4.5,11,5,1.584962500721156
Claude Sonnet 4.5,11,6,1.0
Claude Sonnet 4.5,11,7,0.0
Claude Sonnet 4.5,11,8,0.0
Claude Sonnet 4.5,11,9,0.0
Claude Sonnet 4.5,11,10,0.0
Claude Sonnet 4.5,12,1,4.459431618637297
Claude Sonnet 4.5,12,2,3.4594316186372973
Claude Sonnet 4.5,12,3,1.584962500721156
Claude Sonnet 4.5,12,4,1.0
Claude Sonnet 4.5,12,5,0.0
Claude Sonnet 4.5,12,6,0.0
Claude Sonnet 4.5,12,7,0.0
Claude Sonnet 4.5,12,8,0.0
Claude Sonnet 4.5,12,9,0.0
Claude Sonnet 4.5,12,10,0.0
Claude Sonnet 4.5,13,1,4.459431618637297
Claude Sonnet 4.5,13,2,3.4594316186372973
Claude Sonnet 4.5,13,3,2.321928094887362
Claude Sonnet 4.5,13,4,1.584962500721156
Claude Sonnet 4.5,13,5,1.0
Claude Sonnet 4.5,13,6,0.0
Claude Sonnet 4.5,13,7,0.0
Claude Sonnet 4.5,13,8,0.0
Claude Sonnet 4.5,13,9,0.0
Claude Sonnet 4.5,13,10,0.0
Claude Sonnet 4.5,14,1,4.523561956057013
Claude Sonnet 4.5,14,2,3.321928094887362
Claude Sonnet 4.5,14,3,2.321928094887362
Claude Sonnet 4.5,14,4,2.0
Claude Sonnet 4.5,14,5,1.584962500721156
Claude Sonnet 4.5,14,6,1.0
Claude Sonnet 4.5,14,7,0.0
Claude Sonnet 4.5,14,8,0.0
Claude Sonnet 4.5,14,9,0.0
Claude Sonnet 4.5,14,10,0.0
Claude Sonnet 4.5,15,1,4.523561956057013
Claude Sonnet 4.5,15,2,3.0
Claude Sonnet 4.5,15,3,1.584962500721156
Claude Sonnet 4.5,15,4,1.0
Claude Sonnet 4.5,15,5,0.0
Claude Sonnet 4.5,15,6,0.0
Claude Sonnet 4.5,15,7,0.0
Claude Sonnet 4.5,15,8,0.0
Claude Sonnet 4.5,15,9,0.0
Claude Sonnet 4.5,15,10,0.0
Claude Sonnet 4.5,16,1,4.643856189774724
Claude Sonnet 4.5,16,2,3.169925001442312
Claude Sonnet 4.5,16,3,2.321928094887362
Claude Sonnet 4.5,16,4,1.584962500721156
Claude Sonnet 4.5,16,5,1.0
Claude Sonnet 4.5,16,6,0.0
Claude Sonnet 4.5,16,7,0.0
Claude Sonnet 4.5,16,8,0.0
Claude Sonnet 4.5,16,9,0.0
Claude Sonnet 4.5,16,10,0.0
Claude Sonnet 4.5,17,1,4.392317422778761
Claude Sonnet 4.5,17,2,3.4594316186372973
Claude Sonnet 4.5,17,3,2.321928094887362
Claude Sonnet 4.5,17,4,2.0
Claude Sonnet 4.5,17,5,1.584962500721156
Claude Sonnet 4.5,17,6,1.0
Claude Sonnet 4.5,17,7,0.0
Claude Sonnet 4.5,17,8,0.0
Claude Sonnet 4.5,17,9,0.0
Claude Sonnet 4.5,17,10,0.0
Claude Sonnet 4.5,18,1,4.584962500721156
Claude Sonnet 4.5,18,2,3.169925001442312
Claude Sonnet 4.5,18,3,2.0
Claude Sonnet 4.5,18,4,1.584962500721156
Claude Sonnet 4.5,18,5,1.0
Claude Sonnet 4.5,18,6,0.0
Claude Sonnet 4.5,18,7,0.0
Claude Sonnet 4.5,18,8,0.0
Claude Sonnet 4.5,18,9,0.0
Claude Sonnet 4.5,18,10,0.0
Claude Sonnet 4.5,19,1,4.321928094887363
Claude Sonnet 4.5,19,2,3.321928094887362
Claude Sonnet 4.5,19,3,2.584962500721156
Claude Sonnet 4.5,19,4,2.0
Claude Sonnet 4.5,19,5,1.584962500721156
Claude Sonnet 4.5,19,6,1.0
Claude Sonnet 4.5,19,7,0.0
Claude Sonnet 4.5,19,8,0.0
Claude Sonnet 4.5,19,9,0.0
Claude Sonnet 4.5,19,10,0.0
Claude Sonnet 4.5,20,1,4.523561956057013
Claude Sonnet 4.5,20,2,3.169925001442312
Claude Sonnet 4.5,20,3,2.321928094887362
Claude Sonnet 4.5,20,4,1.584962500721156
Claude Sonnet 4.5,20,5,1.0
Claude Sonnet 4.5,20,6,0.0
Claude Sonnet 4.5,20,7,0.0
Claude Sonnet 4.5,20,8,0.0
Claude Sonnet 4.5,20,9,0.0
Claude Sonnet 4.5,20,10,0.0
Claude Sonnet 4.5,21,1,4.459431618637297
Claude Sonnet 4.5,21,2,3.4594316186372973
Claude Sonnet 4.5,21,3,2.584962500721156
Claude Sonnet 4.5,21,4,2.0
Claude Sonnet 4.5,21,5,1.584962500721156
Claude Sonnet 4.5,21,6,1.0
Claude Sonnet 4.5,21,7,0.0
Claude Sonnet 4.5,21,8,0.0
Claude Sonnet 4.5,21,9,0.0
Claude Sonnet 4.5,21,10,0.0
Claude Sonnet 4.5,22,1,4.459431618637297
Claude Sonnet 4.5,22,2,3.321928094887362
Claude Sonnet 4.5,22,3,2.584962500721156
Claude Sonnet 4.5,22,4,2.0
Claude Sonnet 4.5,22,5,1.0
Claude Sonnet 4.5,22,6,0.0
