model,step,seed,entropy_bits
Claude Sonnet 4.5,1,1,4.459431618637297
Claude Sonnet 4.5,2,1,3.169925001442312
Claude Sonnet 4.5,3,1,2.807354922057604
Claude Sonnet 4.5,4,1,2.0
Claude Sonnet 4.5,5,1,1.584962500721156
Claude Sonnet 4.5,6,1,1.0
Claude Sonnet 4.5,7,1,0.0
Claude Sonnet 4.5,8,1,0.0
Claude Sonnet 4.5,9,1,0.0
Claude Sonnet 4.5,10,1,0.0
Claude Sonnet 4.5,1,2,4.459431618637297
Claude Sonnet 4.5,2,2,3.4594316186372973
Claude Sonnet 4.5,3,2,2.584962500721156
Claude Sonnet 4.5,4,2,2.0
Claude Sonnet 4.5,5,2,1.0
Claude Sonnet 4.5,6,2,0.0
Claude Sonnet 4.5,7,2,0.0
Claude Sonnet 4.5,8,2,0.0
Claude Sonnet 4.5,9,2,0.0
Claude Sonnet 4.5,10,2,0.0
Claude Sonnet 4.5,1,3,4.459431618637297
Claude Sonnet 4.5,2,3,3.169925001442312
Claude Sonnet 4.5,3,3,2.584962500721156
Claude Sonnet 4.5,4,3,2.0
Claude Sonnet 4.5,5,3,1.584962500721156
Claude Sonnet 4.5,6,3,1.0
Claude Sonnet 4.5,7,3,0.0
Claude Sonnet 4.5,8,3,0.0
Claude Sonnet 4.5,9,3,0.0
Claude Sonnet 4.5,10,3,0.0
Claude Sonnet 4.5,1,4,4.584962500721156
Claude Sonnet 4.5,2,4,3.169925001442312
Claude Sonnet 4.5,3,4,2.584962500721156
Claude Sonnet 4.5,4,4,2.0
Claude Sonnet 4.5,5,4,1.584962500721156
Claude Sonnet 4.5,6,4,0.0
Claude Sonnet 4.5,7,4,0.0
Claude Sonnet 4.5,8,4,0.0
Claude Sonnet 4.5,9,4,0.0
Claude Sonnet 4.5,10,4,0.0
Claude Sonnet 4.5,1,5,4.584962500721156
Claude Sonnet 4.5,2,5,3.321928094887362
Claude Sonnet 4.5,3,5,2.321928094887362
Claude Sonnet 4.5,4,5,1.584962500721156
Claude Sonnet 4.5,5,5,1.0
Claude Sonnet 4.5,6,5,0.0
Claude Sonnet 4.5,7,5,0.0
Claude Sonnet 4.5,8,5,0.0
Claude Sonnet 4.5,9,5,0.0
Claude Sonnet 4.5,10,5,0.0
Claude Sonnet 4.5,1,6,4.392317422778761
Claude Sonnet 4.5,2,6,3.321928094887362
Claude Sonnet 4.5,3,6,2.584962500721156
Claude Sonnet 4.5,4,6,2.0
Claude Sonnet 4.5,5,6,1.584962500721156
Claude Sonnet 4.5,6,6,0.0
Claude Sonnet 4.5,7,6,0.0
Claude Sonnet 4.5,8,6,0.0
Claude Sonnet 4.5,9,6,0.0
Claude Sonnet 4.5,10,6,0.0
Claude Sonnet 4.5,1,7,4.459431618637297
Claude Sonnet 4.5,2,7,3.321928094887362
Claude Sonnet 4.5,3,7,2.321928094887362
Claude Sonnet 4.5,4,7,1.584962500721156
Claude Sonnet 4.5,5,7,1.0
Claude Sonnet 4.5,6,7,0.0
Claude Sonnet 4.5,7,7,0.0
Claude Sonnet 4.5,8,7,0.0
Claude Sonnet 4.5,9,7,0.0
Claude Sonnet 4.5,10,7,0.0
Claude Sonnet 4.5,1,8,4.459431618637297
Claude Sonnet 4.5,2,8,3.321928094887362
Claude Sonnet 4.5,3,8,2.807354922057604
Claude Sonnet 4.5,4,8,2.0
Claude Sonnet 4.5,5,8,1.584962500721156
Claude Sonnet 4.5,6,8,1.0
Claude Sonnet 4.5,7,8,0.0
Claude Sonnet 4.5,8,8,0.0
Claude Sonnet 4.5,9,8,0.0
Claude Sonnet 4.5,10,8,0.0
Claude Sonnet 4.5,1,9,4.459431618637297
Claude Sonnet 4.5,2,9,3.0
Claude Sonnet 4.5,3,9,2.584962500721156
