step,mean_bits,std_bits,lower_bits,upper_bits,subset_size_mean_integer,model,n_targets
1,6.671099832163475,0.13385844969032204,6.537241382473153,6.804958281853797,102,Gemini 2.5 Pro,30
2,5.820366165066371,0.21343591581569873,5.606930249250673,6.03380208088207,57,Gemini 2.5 Pro,30
3,4.626244960751305,0.2970285073388172,4.329216453412488,4.923273468090122,25,Gemini 2.5 Pro,30
4,4.030191459534203,0.2828062510996679,3.747385208434535,4.312997710633871,17,Gemini 2.5 Pro,30
5,2.8530259198994825,0.38634412982566385,2.4666817900738187,3.2393700497251463,7,Gemini 2.5 Pro,30
6,1.6359481232569146,0.4204299815269066,1.215518141730008,2.056378104783821,3,Gemini 2.5 Pro,30
7,0.9364912501682698,0.5341531180319365,0.4023381321363333,1.4706443682002064,2,Gemini 2.5 Pro,30
8,0.0,0.0,0.0,0.0,1,Gemini 2.5 Pro,30
9,0.0,0.0,0.0,0.0,1,Gemini 2.5 Pro,30
10,0.0,0.0,0.0,0.0,1,Gemini 2.5 Pro,30
