model,step,seed,entropy_bits
GPT 5,1,1,6.672425341971495
GPT 5,2,1,5.906890595608519
GPT 5,3,1,4.700439718141093
GPT 5,4,1,3.700439718141092
GPT 5,5,1,2.807354922057604
GPT 5,6,1,2.321928094887362
GPT 5,7,1,0.0
GPT 5,8,1,0.0
GPT 5,9,1,0.0
GPT 5,10,1,0.0
GPT 5,1,2,6.392317422778761
GPT 5,2,2,5.727920454563199
GPT 5,3,2,4.321928094887363
GPT 5,4,2,3.0
GPT 5,5,2,1.584962500721156
GPT 5,6,2,1.584962500721156
GPT 5,7,2,0.0
GPT 5,8,2,0.0
GPT 5,9,2,0.0
GPT 5,10,2,0.0
GPT 5,1,3,6.727920454563199
GPT 5,2,3,5.700439718141093
GPT 5,3,3,4.392317422778761
GPT 5,4,3,3.0
GPT 5,5,3,1.584962500721156
GPT 5,6,3,1.0
GPT 5,7,3,0.0
GPT 5,8,3,0.0
GPT 5,9,3,0.0
GPT 5,10,3,0.0
GPT 5,1,4,6.523561956057013
GPT 5,2,4,5.977279923499917
GPT 5,3,4,4.087462841250339
GPT 5,4,4,3.0
GPT 5,5,4,1.584962500721156
GPT 5,6,4,1.0
GPT 5,7,4,0.0
GPT 5,8,4,0.0
GPT 5,9,4,0.0
GPT 5,10,4,0.0
GPT 5,1,5,6.643856189774724
GPT 5,2,5,5.807354922057604
GPT 5,3,5,4.247927513443585
GPT 5,4,5,3.0
GPT 5,5,5,1.584962500721156
GPT 5,6,5,1.0
GPT 5,7,5,0.0
GPT 5,8,5,0.0
GPT 5,9,5,0.0
GPT 5,10,5,0.0
GPT 5,1,6,6.6293566200796095
GPT 5,2,6,5.807354922057604
GPT 5,3,6,4.392317422778761
GPT 5,4,6,3.321928094887362
GPT 5,5,6,2.321928094887362
GPT 5,6,6,1.584962500721156
GPT 5,7,6,0.0
GPT 5,8,6,0.0
GPT 5,9,6,0.0
GPT 5,10,6,0.0
GPT 5,1,7,6.475733430966398
GPT 5,2,7,5.426264754702098
GPT 5,3,7,4.392317422778761
GPT 5,4,7,2.807354922057604
GPT 5,5,7,1.584962500721156
GPT 5,6,7,1.0
GPT 5,7,7,0.0
GPT 5,8,7,0.0
