model,step,entropy_bits_mean,entropy_bits_std,entropy_bits_lo,entropy_bits_hi
Claude Sonnet 4.5,1,6.6804871088798965,0.12762186164292802,6.552865247236968,6.808108970522825
Claude Sonnet 4.5,2,6.035616024589187,0.27778883784948327,5.7578271867397035,6.31340486243867
Claude Sonnet 4.5,3,5.084336739943021,0.4007753347099781,4.683561405233043,5.485112074652999
Claude Sonnet 4.5,4,4.119372114247376,0.5186701127406648,3.6007020015067113,4.638042226988041
Claude Sonnet 4.5,5,3.290148206842253,0.563967673493008,2.726180533349245,3.854115880335261
Claude Sonnet 4.5,6,2.4938773718482503,0.6886655632811214,1.805211808567129,3.182542935129372
Claude Sonnet 4.5,7,2.1942954275975683,0.7684682994889931,1.4258271281085753,2.9627637270865614
Claude Sonnet 4.5,8,1.7348276326701355,0.8718004696199925,0.863027163050143,2.606628102290128
Claude Sonnet 4.5,9,1.1515316205626809,0.7980133202636878,0.3535183002989931,1.9495449408263688
Claude Sonnet 4.5,10,0.0,0.0,0.0,0.0
GPT 5,1,6.628845149693232,0.13676229395395303,6.492082855739279,6.765607443647185
GPT 5,2,5.593057517687839,0.2190343222238763,5.374023195463963,5.812091839911716
GPT 5,3,4.295822397153333,0.3177670647795638,3.978055332373769,4.6135894619328965
GPT 5,4,3.0184249453219794,0.4019861638212603,2.616438781500719,3.42041110914324
GPT 5,5,1.637751307275273,0.5180237518353976,1.1197275554398753,2.1557750591106704
GPT 5,6,1.0277234366404766,0.5806513282031227,0.4470721084373539,1.6083747648435993
GPT 5,7,0.0,0.0,0.0,0.0
GPT 5,8,0.0,0.0,0.0,0.0
GPT 5,9,0.0,0.0,0.0,0.0
GPT 5,10,0.0,0.0,0.0,0.0
Gemini 2.5 Pro,1,6.671099832163475,0.13385844969032204,6.537241382473153,6.804958281853797
Gemini 2.5 Pro,2,5.820366165066371,0.21343591581569873,5.606930249250673,6.03380208088207
Gemini 2.5 Pro,3,4.626244960751305,0.2970285073388172,4.329216453412488,4.923273468090122
Gemini 2.5 Pro,4,4.030191459534203,0.2828062510996679,3.747385208434535,4.312997710633871
Gemini 2.5 Pro,5,2.8530259198994825,0.38634412982566385,2.4666817900738187,3.2393700497251463
Gemini 2.5 Pro,6,1.6359481232569146,0.4204299815269066,1.215518141730008,2.056378104783821
Gemini 2.5 Pro,7,0.9364912501682698,0.5341531180319365,0.4023381321363333,1.4706443682002064
Gemini 2.5 Pro,8,0.0,0.0,0.0,0.0
Gemini 2.5 Pro,9,0.0,0.0,0.0,0.0
Gemini 2.5 Pro,10,0.0,0.0,0.0,0.0
Grok 4,1,6.60720824887763,0.16070970598904738,6.446498542888582,6.767917954866677
Grok 4,2,5.823649901294406,0.20395300119610366,5.619696900098302,6.02760290249051
Grok 4,3,4.725152526114787,0.34806656920513596,4.377085956909651,5.0732190953199225
Grok 4,4,3.6997591022373757,0.40347814676653326,3.2962809554708423,4.103237249003909
Grok 4,5,2.49338914598277,0.5230169341148659,1.970372211867904,3.016406080097636
Grok 4,6,1.8428180770567748,0.5387237096026805,1.3040943674540943,2.3815417866594553
Grok 4,7,1.4379112462253671,0.7915191426425195,0.6463921035828476,2.2294303888678866
Grok 4,8,0.830827083453526,0.7623086840930021,0.06851839936052384,1.593135767546528
Grok 4,9,0.0,0.0,0.0,0.0
Grok 4,10,0.0,0.0,0.0,0.0
Oracle (Optimal),1,6.648582408663491,0.15585388660622823,6.492728522057263,6.804436295269719
Oracle (Optimal),2,5.045028701869315,0.19364064453511493,4.8513880573342,5.23866934640443
Oracle (Optimal),3,3.0135610009558436,0.29266274893701627,2.720898252018827,3.30622374989286
Oracle (Optimal),4,0.9584962500721157,0.37022204632688666,0.5882742037452291,1.3287182963990023
Oracle (Optimal),5,0.0,0.0,0.0,0.0
Oracle (Optimal),6,0.0,0.0,0.0,0.0
Oracle (Optimal),7,0.0,0.0,0.0,0.0
Oracle (Optimal),8,0.0,0.0,0.0,0.0
Oracle (Optimal),9,0.0,0.0,0.0,0.0
Oracle (Optimal),10,0.0,0.0,0.0,0.0
