step,mean_bits,std_bits,lower_bits,upper_bits,subset_size_mean_integer,model,n_targets
1,6.643856189774724,0.35,6.293856189774725,6.993856189774724,100,Claude Sonnet 4.5,30
2,6.022367813028454,0.34,5.6823678130284545,6.362367813028454,65,Claude Sonnet 4.5,30
3,5.0,0.32,4.68,5.32,32,Claude Sonnet 4.5,30
4,4.0,0.3,3.7,4.3,16,Claude Sonnet 4.5,30
5,3.169925001442312,0.27,2.899925001442312,3.439925001442312,9,Claude Sonnet 4.5,30
6,2.321928094887362,0.23,2.091928094887362,2.551928094887362,5,Claude Sonnet 4.5,30
7,2.0,0.2,1.8,2.2,4,Claude Sonnet 4.5,30
8,1.584962500721156,0.15,1.4349625007211562,1.734962500721156,3,Claude Sonnet 4.5,30
9,1.0,0.1,0.9,1.1,2,Claude Sonnet 4.5,30
10,0.0,0.0,0.0,0.0,1,Claude Sonnet 4.5,30
