step,mean_bits,std_bits,lower_bits,upper_bits,subset_size_mean_integer,model,n_targets
1,6.643856189774724,0.35,6.293856189774725,6.993856189774724,100,GPT 5,30
2,5.643856189774724,0.32,5.323856189774724,5.963856189774725,50,GPT 5,30
3,4.321928094887363,0.28,4.041928094887362,4.601928094887363,20,GPT 5,30
4,3.0,0.24,2.76,3.24,8,GPT 5,30
5,1.584962500721156,0.2,1.3849625007211561,1.784962500721156,3,GPT 5,30
6,1.0,0.12,0.88,1.12,2,GPT 5,30
7,0.0,0.0,0.0,0.0,1,GPT 5,30
8,0.0,0.0,0.0,0.0,1,GPT 5,30
9,0.0,0.0,0.0,0.0,1,GPT 5,30
10,0.0,0.0,0.0,0.0,1,GPT 5,30
