step,mean_bits,std_bits,lower_bits,upper_bits,subset_size_mean_integer,model,n_targets
1,6.643856189774724,0.35,6.293856189774725,6.993856189774724,100,Grok 4,30
2,5.906890595608519,0.33,5.576890595608519,6.236890595608519,60,Grok 4,30
3,4.807354922057604,0.31,4.497354922057604,5.117354922057603,28,Grok 4,30
4,3.807354922057604,0.27,3.537354922057604,4.077354922057604,14,Grok 4,30
5,2.584962500721156,0.23,2.354962500721156,2.814962500721156,6,Grok 4,30
6,2.0,0.19,1.81,2.19,4,Grok 4,30
7,1.584962500721156,0.15,1.4349625007211562,1.734962500721156,3,Grok 4,30
8,1.0,0.1,0.9,1.1,2,Grok 4,30
9,0.0,0.0,0.0,0.0,1,Grok 4,30
10,0.0,0.0,0.0,0.0,1,Grok 4,30
