model,run_id,step,entropy_bits
Claude Sonnet 4.5,1,1,7.643856189774724
Claude Sonnet 4.5,1,2,5.554588851677638
Claude Sonnet 4.5,1,3,5.044394119358453
Claude Sonnet 4.5,1,4,4.0
Claude Sonnet 4.5,1,5,3.169925001442312
Claude Sonnet 4.5,1,6,2.807354922057604
Claude Sonnet 4.5,1,7,2.584962500721156
Claude Sonnet 4.5,1,8,2.0
Claude Sonnet 4.5,1,9,0.0
Claude Sonnet 4.5,1,10,0.0
Claude Sonnet 4.5,2,1,7.643856189774724
Claude Sonnet 4.5,2,2,5.857980995127572
Claude Sonnet 4.5,2,3,4.857980995127572
Claude Sonnet 4.5,2,4,3.906890595608519
Claude Sonnet 4.5,2,5,2.584962500721156
Claude Sonnet 4.5,2,6,2.321928094887362
Claude Sonnet 4.5,2,7,2.0
Claude Sonnet 4.5,2,8,1.584962500721156
Claude Sonnet 4.5,2,9,0.0
Claude Sonnet 4.5,2,10,0.0
Claude Sonnet 4.5,3,1,7.643856189774724
Claude Sonnet 4.5,3,2,5.672425341971495
Claude Sonnet 4.5,3,3,4.459431618637297
Claude Sonnet 4.5,3,4,3.321928094887362
Claude Sonnet 4.5,3,5,2.0
Claude Sonnet 4.5,3,6,1.584962500721156
Claude Sonnet 4.5,3,7,1.0
Claude Sonnet 4.5,3,8,0.0
Claude Sonnet 4.5,3,9,0.0
Claude Sonnet 4.5,3,10,0.0
Claude Sonnet 4.5,4,1,7.643856189774724
Claude Sonnet 4.5,4,2,5.954196310386875
Claude Sonnet 4.5,4,3,4.954196310386875
Claude Sonnet 4.5,4,4,3.807354922057604
Claude Sonnet 4.5,4,5,2.807354922057604
Claude Sonnet 4.5,4,6,2.584962500721156
Claude Sonnet 4.5,4,7,2.584962500721156
Claude Sonnet 4.5,4,8,2.0
Claude Sonnet 4.5,4,9,0.0
Claude Sonnet 4.5,4,10,0.0
Claude Sonnet 4.5,5,1,7.643856189774724
Claude Sonnet 4.5,5,2,5.78135971352466
Claude Sonnet 4.5,5,3,4.247927513443585
Claude Sonnet 4.5,5,4,3.169925001442312
Claude Sonnet 4.5,5,5,2.321928094887362
Claude Sonnet 4.5,5,6,1.584962500721156
Claude Sonnet 4.5,5,7,1.0
Claude Sonnet 4.5,5,8,0.0
Claude Sonnet 4.5,5,9,0.0
Claude Sonnet 4.5,5,10,0.0
Claude Sonnet 4.5,6,1,7.643856189774724
Claude Sonnet 4.5,6,2,5.643856189774724
Claude Sonnet 4.5,6,3,4.523561956057013
Claude Sonnet 4.5,6,4,3.584962500721156
Claude Sonnet 4.5,6,5,2.321928094887362
Claude Sonnet 4.5,6,6,1.584962500721156
Claude Sonnet 4.5,6,7,1.0
Claude Sonnet 4.5,6,8,0.0
Claude Sonnet 4.5,6,9,0.0
Claude Sonnet 4.5,6,10,0.0
Claude Sonnet 4.5,7,1,7.643856189774724
Claude Sonnet 4.5,7,2,5.807354922057604
Claude Sonnet 4.5,7,3,5.129283016944966
Claude Sonnet 4.5,7,4,4.169925001442312
Claude Sonnet 4.5,7,5,3.0
Claude Sonnet 4.5,7,6,2.584962500721156
Claude Sonnet 4.5,7,7,2.584962500721156
Claude Sonnet 4.5,7,8,2.0
Claude Sonnet 4.5,7,9,0.0
Claude Sonnet 4.5,7,10,0.0
Claude Sonnet 4.5,8,1,7.643856189774724
Claude Sonnet 4.5,8,2,5.754887502163468
Claude Sonnet 4.5,8,3,4.584962500721156
Claude Sonnet 4.5,8,4,3.321928094887362
Claude Sonnet 4.5,8,5,1.584962500721156
Claude Sonnet 4.5,8,6,1.0
Claude Sonnet 4.5,8,7,1.0
Claude Sonnet 4.5,8,8,0.0
Claude Sonnet 4.5,8,9,0.0
Claude Sonnet 4.5,8,10,0.0
Claude Sonnet 4.5,9,1,7.643856189774724
Claude Sonnet 4.5,9,2,5.882643049361842
Claude Sonnet 4.5,9,3,4.857980995127572
Claude Sonnet 4.5,9,4,3.700439718141092
Claude Sonnet 4.5,9,5,2.584962500721156
Claude Sonnet 4.5,9,6,2.0
Claude Sonnet 4.5,9,7,1.584962500721156
Claude Sonnet 4.5,9,8,1.0
Claude Sonnet 4.5,9,9,0.0
Claude Sonnet 4.5,9,10,0.0
Claude Sonnet 4.5,10,1,7.643856189774724
Claude Sonnet 4.5,10,2,5.672425341971495
Claude Sonnet 4.5,10,3,4.643856189774724
Claude Sonnet 4.5,10,4,3.700439718141092
Claude Sonnet 4.5,10,5,2.321928094887362
Claude Sonnet 4.5,10,6,1.584962500721156
Claude Sonnet 4.5,10,7,1.0
Claude Sonnet 4.5,10,8,1.0
Claude Sonnet 4.5,10,9,0.0
Claude Sonnet 4.5,10,10,0.0
Claude Sonnet 4.5,11,1,7.643856189774724
Claude Sonnet 4.5,11,2,5.882643049361842
Claude Sonnet 4.5,11,3,5.247927513443585
Claude Sonnet 4.5,11,4,4.523561956057013
Claude Sonnet 4.5,11,5,3.169925001442312
Claude Sonnet 4.5,11,6,2.321928094887362
Claude Sonnet 4.5,11,7,2.321928094887362
Claude Sonnet 4.5,11,8,1.584962500721156
Claude Sonnet 4.5,11,9,0.0
Claude Sonnet 4.5,11,10,0.0
Claude Sonnet 4.5,12,1,7.643856189774724
Claude Sonnet 4.5,12,2,5.754887502163468
Claude Sonnet 4.5,12,3,4.584962500721156
Claude Sonnet 4.5,12,4,3.584962500721156
Claude Sonnet 4.5,12,5,2.321928094887362
Claude Sonnet 4.5,12,6,1.584962500721156
Claude Sonnet 4.5,12,7,1.0
Claude Sonnet 4.5,12,8,1.0
Claude Sonnet 4.5,12,9,0.0
Claude Sonnet 4.5,12,10,0.0
Claude Sonnet 4.5,13,1,7.643856189774724
Claude Sonnet 4.5,13,2,5.643856189774724
Claude Sonnet 4.5,13,3,4.643856189774724
Claude Sonnet 4.5,13,4,3.584962500721156
Claude Sonnet 4.5,13,5,2.321928094887362
Claude Sonnet 4.5,13,6,1.584962500721156
Claude Sonnet 4.5,13,7,1.0
Claude Sonnet 4.5,13,8,0.0
Claude Sonnet 4.5,13,9,0.0
Claude Sonnet 4.5,13,10,0.0
Claude Sonnet 4.5,14,1,7.643856189774724
Claude Sonnet 4.5,14,2,6.044394119358453
Claude Sonnet 4.5,14,3,5.087462841250339
Claude Sonnet 4.5,14,4,4.087462841250339
Claude Sonnet 4.5,14,5,3.321928094887362
Claude Sonnet 4.5,14,6,2.321928094887362
Claude Sonnet 4.5,14,7,2.0
Claude Sonnet 4.5,14,8,1.0
Claude Sonnet 4.5,14,9,0.0
Claude Sonnet 4.5,14,10,0.0
Claude Sonnet 4.5,15,1,7.643856189774724
Claude Sonnet 4.5,15,2,5.727920454563199
Claude Sonnet 4.5,15,3,4.247927513443585
Claude Sonnet 4.5,15,4,3.169925001442312
Claude Sonnet 4.5,15,5,1.584962500721156
Claude Sonnet 4.5,15,6,1.0
Claude Sonnet 4.5,15,7,0.0
Claude Sonnet 4.5,15,8,0.0
Claude Sonnet 4.5,15,9,0.0
Claude Sonnet 4.5,15,10,0.0
Claude Sonnet 4.5,16,1,7.643856189774724
Claude Sonnet 4.5,16,2,5.882643049361842
Claude Sonnet 4.5,16,3,4.857980995127572
Claude Sonnet 4.5,16,4,4.0
Claude Sonnet 4.5,16,5,2.807354922057604
Claude Sonnet 4.5,16,6,2.321928094887362
Claude Sonnet 4.5,16,7,2.321928094887362
Claude Sonnet 4.5,16,8,2.0
Claude Sonnet 4.5,16,9,0.0
Claude Sonnet 4.5,16,10,0.0
Claude Sonnet 4.5,17,1,7.643856189774724
Claude Sonnet 4.5,17,2,5.906890595608519
Claude Sonnet 4.5,17,3,4.754887502163468
Claude Sonnet 4.5,17,4,3.584962500721156
Claude Sonnet 4.5,17,5,2.321928094887362
Claude Sonnet 4.5,17,6,1.584962500721156
Claude Sonnet 4.5,17,7,1.0
Claude Sonnet 4.5,17,8,0.0
Claude Sonnet 4.5,17,9,0.0
Claude Sonnet 4.5,17,10,0.0
Claude Sonnet 4.5,18,1,7.643856189774724
Claude Sonnet 4.5,18,2,5.832890014164741
Claude Sonnet 4.5,18,3,4.321928094887363
Claude Sonnet 4.5,18,4,3.169925001442312
Claude Sonnet 4.5,18,5,2.0
Claude Sonnet 4.5,18,6,1.584962500721156
