step,mean_bits,std_bits,lower_bits,upper_bits,subset_size_mean_integer,model,n_targets
1,7.643856189774727,2.6645352591003757e-15,7.643856189774724,7.64385618977473,200,Oracle (Optimal),30
2,5.383447261600367,0.2134999128327896,5.169947348767577,5.596947174433156,42,Oracle (Optimal),30
3,3.1462919165769816,0.2628329394944234,2.883458977082558,3.409124856071405,9,Oracle (Optimal),30
4,1.1673183336217958,0.6128161982198834,0.5545021354019124,1.7801345318416792,2,Oracle (Optimal),30
5,0.03333333333333333,0.1795054935711501,-0.14617216023781676,0.2128388269044834,1,Oracle (Optimal),30
6,0.0,0.0,0.0,0.0,1,Oracle (Optimal),30
7,0.0,0.0,0.0,0.0,1,Oracle (Optimal),30
8,0.0,0.0,0.0,0.0,1,Oracle (Optimal),30
9,0.0,0.0,0.0,0.0,1,Oracle (Optimal),30
10,0.0,0.0,0.0,0.0,1,Oracle (Optimal),30
