step,GPT 5,Gemini 2.5 Pro,Claude Sonnet 4.5,Grok 4,Oracle (Optimal)
1,7.643856189774727,7.643856189774727,7.643856189774727,7.643856189774727,7.643856189774727
2,5.593057517687839,5.820366165066371,5.823649901294405,6.035616024589186,5.383447261600367
3,4.295822397153332,4.626244960751305,4.725152526114787,5.084336739943022,3.1462919165769816
4,3.01842494532198,4.030191459534203,3.6997591022373753,4.119372114247375,1.1673183336217958
5,1.6377513072752727,2.8530259198994825,2.4933891459827704,3.2901482068422525,0.03333333333333333
6,1.0277234366404764,1.6359481232569144,1.8428180770567744,2.4938773718482503,0.0
7,0.0,0.9364912501682698,1.4379112462253667,2.194295427597568,0.0
8,0.0,0.0,0.830827083453526,1.7348276326701353,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
