model,seed,step,entropy_bits
GPT 5,1,1,8.228818690495881
GPT 5,1,2,7.149747119504682
GPT 5,1,3,6.727920454563199
GPT 5,1,4,5.129283016944966
GPT 5,1,5,4.906890595608519
GPT 5,1,6,3.0
GPT 5,1,7,0.0
GPT 5,1,8,0.0
GPT 5,1,9,0.0
GPT 5,1,10,0.0
GPT 5,2,1,8.228818690495881
GPT 5,2,2,7.199672344836364
GPT 5,2,3,6.0
GPT 5,2,4,5.459431618637297
GPT 5,2,5,4.954196310386875
GPT 5,2,6,4.392317422778761
GPT 5,2,7,0.0
GPT 5,2,8,0.0
GPT 5,2,9,0.0
GPT 5,2,10,0.0
GPT 5,3,1,8.228818690495881
GPT 5,3,2,6.977279923499917
GPT 5,3,3,6.491853096329675
GPT 5,3,4,5.954196310386875
GPT 5,3,5,5.0
GPT 5,3,6,3.807354922057604
GPT 5,3,7,0.0
GPT 5,3,8,0.0
GPT 5,3,9,0.0
GPT 5,3,10,0.0
GPT 5,4,1,8.228818690495881
GPT 5,4,2,7.383704292474052
GPT 5,4,3,6.78135971352466
GPT 5,4,4,5.754887502163468
GPT 5,4,5,4.169925001442312
GPT 5,4,6,4.169925001442312
GPT 5,4,7,0.0
GPT 5,4,8,0.0
GPT 5,4,9,0.0
GPT 5,4,10,0.0
GPT 5,5,1,8.228818690495881
GPT 5,5,2,7.330916878114617
GPT 5,5,3,6.643856189774724
GPT 5,5,4,5.672425341971495
GPT 5,5,5,4.0
GPT 5,5,6,4.0
GPT 5,5,7,0.0
GPT 5,5,8,0.0
GPT 5,5,9,0.0
GPT 5,5,10,0.0
GPT 5,6,1,8.228818690495881
GPT 5,6,2,6.954196310386875
GPT 5,6,3,6.044394119358453
GPT 5,6,4,5.285402218862249
GPT 5,6,5,4.857980995127572
GPT 5,6,6,4.169925001442312
GPT 5,6,7,0.0
GPT 5,6,8,0.0
GPT 5,6,9,0.0
GPT 5,6,10,0.0
GPT 5,7,1,8.228818690495881
GPT 5,7,2,7.383704292474052
GPT 5,7,3,6.066089190457772
GPT 5,7,4,6.066089190457772
GPT 5,7,5,4.169925001442312
GPT 5,7,6,4.169925001442312
GPT 5,7,7,0.0
GPT 5,7,8,0.0
GPT 5,7,9,0.0
GPT 5,7,10,0.0
GPT 5,8,1,8.228818690495881
GPT 5,8,2,6.94251450533924
GPT 5,8,3,6.643856189774724
GPT 5,8,4,6.044394119358453
GPT 5,8,5,3.906890595608519
GPT 5,8,6,3.0
GPT 5,8,7,0.0
GPT 5,8,8,0.0
GPT 5,8,9,0.0
GPT 5,8,10,0.0
GPT 5,9,1,8.228818690495881
GPT 5,9,2,7.321928094887363
GPT 5,9,3,6.491853096329675
GPT 5,9,4,5.700439718141092
GPT 5,9,5,4.643856189774724
GPT 5,9,6,4.392317422778761
GPT 5,9,7,0.0
GPT 5,9,8,0.0
GPT 5,9,9,0.0
GPT 5,9,10,0.0
GPT 5,10,1,8.228818690495881
GPT 5,10,2,7.3750394313469245
GPT 5,10,3,6.442943495848728
GPT 5,10,4,6.149747119504682
GPT 5,10,5,5.20945336562895
GPT 5,10,6,3.700439718141092
GPT 5,10,7,0.0
GPT 5,10,8,0.0
GPT 5,10,9,0.0
GPT 5,10,10,0.0
GPT 5,11,1,8.228818690495881
GPT 5,11,2,7.179909090014935
GPT 5,11,3,6.22881869049588
GPT 5,11,4,5.087462841250339
GPT 5,11,5,5.087462841250339
GPT 5,11,6,4.247927513443585
GPT 5,11,7,0.0
GPT 5,11,8,0.0
GPT 5,11,9,0.0
GPT 5,11,10,0.0
GPT 5,12,1,8.228818690495881
GPT 5,12,2,7.05528243550119
GPT 5,12,3,6.6293566200796095
GPT 5,12,4,5.614709844115208
GPT 5,12,5,5.129283016944966
GPT 5,12,6,4.321928094887363
GPT 5,12,7,0.0
GPT 5,12,8,0.0
GPT 5,12,9,0.0
GPT 5,12,10,0.0
GPT 5,13,1,8.228818690495881
GPT 5,13,2,7.011227255423254
GPT 5,13,3,6.700439718141092
