model,step,entropy_bits_mean,entropy_bits_std,entropy_bits_lo,entropy_bits_hi
Claude Sonnet 4.5,1,8.228818690495878,3.613448226613569e-15,8.228818690495874,8.228818690495881
Claude Sonnet 4.5,2,6.678843258899385,0.9547336549954129,5.7241096039039725,7.633576913894798
Claude Sonnet 4.5,3,5.4887333065551,1.0238836641367182,4.464849642418383,6.512616970691818
Claude Sonnet 4.5,4,4.501620460394339,0.9452978396043352,3.556322620790003,5.446918299998674
Claude Sonnet 4.5,5,3.83947755533104,0.8486107918513038,2.990866763479736,4.688088347182344
Claude Sonnet 4.5,6,3.102564091434898,0.6779503121026057,2.4246137793322924,3.7805144035375036
Claude Sonnet 4.5,7,2.4627220014793383,0.5792386651669075,1.8834833363124308,3.0419606666462458
Claude Sonnet 4.5,8,1.9219187332094685,0.613710997697053,1.3082077355124155,2.535629730906521
Claude Sonnet 4.5,9,1.1748913532831045,0.3494226746243008,0.8254686786588037,1.5243140279074052
Claude Sonnet 4.5,10,0.0,0.0,0.0,0.0
GPT 5,1,8.228818690495878,3.613448226613569e-15,8.228818690495874,8.228818690495881
GPT 5,2,6.939998931722056,0.90172424077179,6.038274690950266,7.841723172493846
GPT 5,3,5.877230112222473,1.113632218192403,4.76359789403007,6.990862330414876
GPT 5,4,5.000836016191305,1.3192255187809767,3.681610497410328,6.3200615349722815
GPT 5,5,3.936736419678363,1.4356831081424135,2.5010533115359497,5.372419527820776
GPT 5,6,3.0941553358882854,1.325352606617373,1.7688027292709123,4.419507942505659
GPT 5,7,2.12001737134198,1.1100527476170945,1.0099646237248856,3.2300701189590746
GPT 5,8,0.0,0.0,0.0,0.0
GPT 5,9,0.0,0.0,0.0,0.0
GPT 5,10,0.0,0.0,0.0,0.0
Gemini 2.5 Pro,1,8.228818690495878,3.613448226613569e-15,8.228818690495874,8.228818690495881
Gemini 2.5 Pro,2,6.8762413972512,0.9264344031246992,5.949806994126501,7.8026758003759
Gemini 2.5 Pro,3,5.445691978196376,1.0377674501454317,4.407924528050945,6.483459428341808
Gemini 2.5 Pro,4,4.420032526414727,0.9510330457608196,3.468999480653907,5.371065572175547
Gemini 2.5 Pro,5,3.704083285422101,0.9799992203955512,2.72408406502655,4.684082505817652
Gemini 2.5 Pro,6,2.9155744225757085,0.8756522612425482,2.0399221613331604,3.7912266838182567
Gemini 2.5 Pro,7,2.214944435401016,0.8414307857361337,1.3735136496648823,3.05637522113715
Gemini 2.5 Pro,8,1.2828735511062843,0.6605492640400615,0.6223242870662228,1.943422815146346
Gemini 2.5 Pro,9,0.0,0.0,0.0,0.0
Gemini 2.5 Pro,10,0.0,0.0,0.0,0.0
Grok 4,1,8.228818690495878,3.613448226613569e-15,8.228818690495874,8.228818690495881
Grok 4,2,6.589645686732325,0.6797427817897553,5.9099029049425695,7.269388468522081
Grok 4,3,5.448314022156163,0.8761250487277656,4.572188973428397,6.324439070883929
Grok 4,4,4.524222671312304,0.8221025794120361,3.702120091900268,5.34632525072434
Grok 4,5,3.71721296065131,0.6732955685799165,3.0439173920713936,4.3905085292312265
Grok 4,6,3.0411441410654363,0.6321236864186708,2.4090204546467655,3.673267827484107
Grok 4,7,2.3886312608828244,0.5451244366401551,1.8435068242426693,2.9337556975229795
Grok 4,8,1.761165310017583,0.3729261634511879,1.388239146566395,2.134091473468771
Grok 4,9,1.0333333333333334,0.1825741858350552,0.8507591474982783,1.2159075191683886
Grok 4,10,0.0,0.0,0.0,0.0
Oracle,1,8.228818690495878,3.613448226613569e-15,8.228818690495874,8.228818690495881
Oracle,2,5.914736602211705,0.1009990681651748,5.81373753404653,6.01573567037688
Oracle,3,3.5470681644142905,0.3590883902059619,3.1879797742083285,3.9061565546202526
Oracle,4,1.424619789827427,0.6560381793311045,0.7685816104963226,2.0806579691585316
Oracle,5,0.1666666666666666,0.1666666666666666,0.0,0.3333333333333332
Oracle,6,0.0,0.0,0.0,0.0
Oracle,7,0.0,0.0,0.0,0.0
Oracle,8,0.0,0.0,0.0,0.0
Oracle,9,0.0,0.0,0.0,0.0
Oracle,10,0.0,0.0,0.0,0.0
