model,step,mean_bits,std_bits
Claude Sonnet 4.5,1,8.228818690495881,0.0
Claude Sonnet 4.5,2,7.544237622625052,0.14659692300502
Claude Sonnet 4.5,3,6.760086093435394,0.3235480657779039
Claude Sonnet 4.5,4,6.619969531722365,0.2413684665200997
Claude Sonnet 4.5,5,5.957941807377535,0.2633159541645488
Claude Sonnet 4.5,6,5.006339840793291,0.33065066037033
Claude Sonnet 4.5,7,4.260281507982717,0.4261187009520419
Claude Sonnet 4.5,8,3.4838126189667378,0.4343910438691898
Claude Sonnet 4.5,9,0.0,0.0
Claude Sonnet 4.5,10,0.0,0.0
GPT 5,1,8.228819,0.0
GPT 5,2,7.139769,0.1629657630222653
GPT 5,3,6.321928094887363,0.3007942026566414
GPT 5,4,4.807354922057604,0.3947286168082234
GPT 5,5,3.169925001442312,0.3991135729009366
GPT 5,6,2.0,0.5097341640317922
GPT 5,7,0.0,0.0
GPT 5,8,0.0,0.0
GPT 5,9,0.0,0.0
GPT 5,10,0.0,0.0
Gemini 2.5 Pro,1,8.228818690495881,0.0
Gemini 2.5 Pro,2,7.403064138731298,0.1578366669701748
Gemini 2.5 Pro,3,6.798554537622434,0.2676496058033729
Gemini 2.5 Pro,4,6.253651060384216,0.323658644041269
Gemini 2.5 Pro,5,5.388475951717543,0.3071476078840242
Gemini 2.5 Pro,6,4.402170642159352,0.4436564995938581
Gemini 2.5 Pro,7,3.634882115150356,0.4395856520384199
Gemini 2.5 Pro,8,2.5516511538250866,0.5364600056419563
Gemini 2.5 Pro,9,0.0,0.0
Gemini 2.5 Pro,10,0.0,0.0
Grok 4,1,8.228818690495881,0.0
Grok 4,2,7.575442895482124,0.1254703670283765
Grok 4,3,7.252085686070297,0.1431284266297228
Grok 4,4,6.924031859968094,0.2102131892662174
Grok 4,5,6.404746987940491,0.2098499969375624
Grok 4,6,5.843084494830274,0.3574577105048449
Grok 4,7,5.357951886502341,0.3953317009395348
Grok 4,8,4.366287420547518,0.5209548048014426
Grok 4,9,3.461293614810183,0.658861543909197
Grok 4,10,0.0,0.0
Oracle (Optimal),1,8.2288,0.0
Oracle (Optimal),2,5.9098,0.0899
Oracle (Optimal),3,3.6194,0.3122
Oracle (Optimal),4,1.5689,0.6555
Oracle (Optimal),5,0.145,0.3775
Oracle (Optimal),6,0.0,0.0
Oracle (Optimal),7,0.0,0.0
Oracle (Optimal),8,0.0,0.0
Oracle (Optimal),9,0.0,0.0
Oracle (Optimal),10,0.0,0.0
